"Severity","ThreadID","Date","Time","Application","Message"
"Information","ajp-bio-8012-exec-19507","05/24/15","22:28:23",,"/opt/coldfusion10/cfusion/logs/application.log initialized"
"Error","ajp-bio-8012-exec-19507","05/24/15","22:28:23","cfadmin","The method cfquery was not found in component /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/administrator.cfc.Ensure that the method is defined, and that it is spelled correctly. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/administrator.cfc'' "
"Error","ajp-bio-8012-exec-19515","05/24/15","22:29:26","componentutils","The method canAccessPage was not found in component /opt/coldfusion10/cfusion/wwwroot/CFIDE/componentutils/cfcexplorer.cfc.Ensure that the method is defined, and that it is spelled correctly. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/componentutils/cfcexplorer.cfc'' "
"Error","ajp-bio-8012-exec-19491","05/24/15","22:29:36","componentutils","The NAME parameter to the getcfcinhtml function is required but was not passed in. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/componentutils/cfcexplorer.cfc'' "
"Error","ajp-bio-8012-exec-19507","05/24/15","22:29:48","componentutils","The method canAccessPage was not found in component /opt/coldfusion10/cfusion/wwwroot/CFIDE/componentutils/cfcexplorer.cfc.Ensure that the method is defined, and that it is spelled correctly. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/componentutils/cfcexplorer.cfc'' "
"Error","ajp-bio-8012-exec-19492","05/24/15","22:30:15","cfadmin","The method can was not found in component /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/accessmanager.cfc.Ensure that the method is defined, and that it is spelled correctly. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/accessmanager.cfc'' "
"Error","ajp-bio-8012-exec-19513","05/24/15","22:30:21","cfadmin","The method 'canAccessPage' in component /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/accessmanager.cfc cannot be accessed remotely. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/accessmanager.cfc'' "
"Error","ajp-bio-8012-exec-19503","05/24/15","22:30:44","cfadmin","Variable ISADMINUSER is undefined. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/_datasource/setsldatasource.cfm, line: 4 "
"Error","ajp-bio-8012-exec-19508","05/24/15","22:31:10","cfadmin","Entity has incorrect type for being called as a function.The symbol you provided isAdminUser is not the name of a function. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/_datasource/setsldatasource.cfm, line: 4 "
"Error","ajp-bio-8012-exec-19509","05/24/15","22:31:33","cfadmin","Variable ISADMINUSER is undefined. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/_datasource/setsldatasource.cfm, line: 4 "
"Error","ajp-bio-8012-exec-19491","05/24/15","22:32:11","cfadmin","Variable ISADMINUSER is undefined. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/_datasource/setsldatasource.cfm, line: 4 "
"Error","ajp-bio-8012-exec-19514","05/24/15","22:32:27","cfadmin","Variable ISADMINUSER is undefined. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/_datasource/formatjdbcurl.cfm, line: 4 "
"Error","ajp-bio-8012-exec-19511","05/24/15","22:32:32","cfadmin","Variable ISADMINUSER is undefined. The specific sequence of files included or processed is: /opt/coldfusion10/cfusion/wwwroot/CFIDE/adminapi/_datasource/getaccessdefaultsfromregistry.cfm, line: 4 "
