address,mac,name,os_name,os_flavor,os_sp,purpose,info,comments
"1.17.56.243","","","Unknown","","","device","",""
"1.28.239.12","","","Unknown","","","device","",""
"1.233.38.167","","","Unknown","","","device","",""
"3.39.183.9","","","Unknown","","","device","",""
"4.127.72.172","","","Unknown","","","device","",""
"4.251.36.50","","","Unknown","","","device","",""
"5.104.84.87","","","Unknown","","","device","",""
"5.133.99.82","","","Unknown","","","device","",""
"5.152.101.192","","","Unknown","","","device","",""
"8.188.156.14","","","Unknown","","","device","",""
"8.204.136.59","","","Unknown","","","device","",""
"9.43.47.75","","","Unknown","","","device","",""
"9.48.228.144","","","Unknown","","","device","",""
"9.112.123.46","","","Unknown","","","device","",""
"11.2.69.54","","","Unknown","","","device","",""
"12.120.113.191","","","Unknown","","","device","",""
"13.100.81.158","","","Unknown","","","device","",""
"13.169.9.42","","","Unknown","","","device","",""
"13.185.22.39","","","Unknown","","","device","",""
"13.198.26.212","","","Unknown","","","device","",""
"14.111.172.228","","","Unknown","","","device","",""
"14.182.241.125","","","Unknown","","","device","",""
"15.11.174.116","","","Unknown","","","device","",""
"15.54.64.148","","","Unknown","","","device","",""
"15.81.204.200","","","Unknown","","","device","",""
"16.70.37.178","","","Unknown","","","device","",""
"16.100.10.228","","","Unknown","","","device","",""
"16.216.65.103","","","Unknown","","","device","",""
"17.9.208.45","","","Unknown","","","device","",""
"17.229.56.6","","","Unknown","","","device","",""
"18.42.51.195","","","Unknown","","","device","",""
"18.111.129.185","","","Unknown","","","device","",""
"18.122.191.177","","","Unknown","","","device","",""
"18.138.153.36","","","Unknown","","","device","",""
"19.34.210.209","","","Unknown","","","device","",""
"19.181.36.112","","","Unknown","","","device","",""
"20.11.75.224","","","Unknown","","","device","",""
"20.25.215.181","","","Unknown","","","device","",""
"20.35.114.55","","","Unknown","","","device","",""
"20.150.155.248","","","Unknown","","","device","",""
"20.207.238.63","","","Unknown","","","device","",""
"21.68.62.74","","","Unknown","","","device","",""
"22.54.202.121","","","Unknown","","","device","",""
"22.116.204.12","","","Unknown","","","device","",""
"23.61.31.218","","","Unknown","","","device","",""
"24.63.118.105","","","Unknown","","","device","",""
"26.205.149.210","","","Unknown","","","device","",""
"27.22.104.222","","","Unknown","","","device","",""
"28.48.104.55","","","Unknown","","","device","",""
"28.159.4.136","","","Unknown","","","device","",""
"28.234.45.155","","","Unknown","","","device","",""
"29.54.108.47","","","Unknown","","","device","",""
"29.103.126.141","","","Unknown","","","device","",""
"29.128.219.174","","","Unknown","","","device","",""
"30.211.117.228","","","Unknown","","","device","",""
"31.189.52.113","","","Unknown","","","device","",""
"32.45.131.15","","","Unknown","","","device","",""
"32.87.123.160","","","Unknown","","","device","",""
"32.125.63.152","","","Unknown","","","device","",""
"34.16.234.39","","","Unknown","","","device","",""
"34.26.34.225","","","Unknown","","","device","",""
"34.201.95.121","","","Unknown","","","device","",""
"35.25.59.211","","","Unknown","","","device","",""
"35.206.121.54","","","Unknown","","","device","",""
"35.236.125.162","","","Unknown","","","device","",""
"37.165.139.238","","","Unknown","","","device","",""
"37.197.253.88","","","Unknown","","","device","",""
"39.111.31.82","","","Unknown","","","device","",""
"39.211.248.183","","","Unknown","","","device","",""
"39.212.185.235","","","Unknown","","","device","",""
"39.232.177.91","","","Unknown","","","device","",""
"41.53.143.253","","","Unknown","","","device","",""
"41.67.144.57","","","Unknown","","","device","",""
"41.160.253.129","","","Unknown","","","device","",""
"42.10.42.33","","","Unknown","","","device","",""
"42.56.231.227","","","Unknown","","","device","",""
"43.199.35.94","","","Unknown","","","device","",""
"44.26.11.46","","","Unknown","","","device","",""
"45.46.193.117","","","Unknown","","","device","",""
"46.20.231.250","","","Unknown","","","device","",""
"47.77.35.82","","","Unknown","","","device","",""
"47.130.142.221","","","Unknown","","","device","",""
"47.137.52.179","","","Unknown","","","device","",""
"47.139.125.20","","","Unknown","","","device","",""
"47.182.200.59","","","Unknown","","","device","",""
"48.34.68.177","","","Unknown","","","device","",""
"48.202.33.42","","","Unknown","","","device","",""
"48.208.187.253","","","Unknown","","","device","",""
"50.105.36.217","","","Unknown","","","device","",""
"50.109.87.183","","","Unknown","","","device","",""
"51.11.101.107","","","Unknown","","","device","",""
"51.115.155.129","","","Unknown","","","device","",""
"51.178.28.91","","","Unknown","","","device","",""
"51.220.69.119","","","Unknown","","","device","",""
"52.19.128.20","","","Unknown","","","device","",""
"52.88.80.90","","","Unknown","","","device","",""
"52.127.228.153","","","Unknown","","","device","",""
"53.48.164.82","","","Unknown","","","device","",""
"53.68.33.66","","","Unknown","","","device","",""
"53.179.44.151","","","Unknown","","","device","",""
"53.233.24.116","","","Unknown","","","device","",""
"54.182.67.5","","","Unknown","","","device","",""
"54.213.255.158","","","Unknown","","","device","",""
"56.72.223.103","","","Unknown","","","device","",""
"56.186.157.4","","","Unknown","","","device","",""
"57.19.199.159","","","Unknown","","","device","",""
