host,port,proto,name,state,info
"192.168.2.1","21","tcp","ftp","open",""
"192.168.2.76","22","tcp","ssh","open",""
"192.168.2.1","53","tcp","domain","open",""
"1.17.56.243","80","tcp","http","filtered",""
"1.28.239.12","80","tcp","http","filtered",""
"1.233.38.167","80","tcp","http","filtered",""
"3.39.183.9","80","tcp","http","filtered",""
"4.127.72.172","80","tcp","http","filtered",""
"4.251.36.50","80","tcp","http","filtered",""
"5.104.84.87","80","tcp","http","filtered",""
"5.133.99.82","80","tcp","http","filtered",""
"5.152.101.192","80","tcp","http","filtered",""
"8.188.156.14","80","tcp","http","filtered",""
"8.204.136.59","80","tcp","http","filtered",""
"9.43.47.75","80","tcp","http","filtered",""
"9.48.228.144","80","tcp","http","filtered",""
"9.112.123.46","80","tcp","http","filtered",""
"11.2.69.54","80","tcp","http","filtered",""
"12.120.113.191","80","tcp","http","filtered",""
"13.100.81.158","80","tcp","http","filtered",""
"13.169.9.42","80","tcp","http","filtered",""
"13.185.22.39","80","tcp","http","filtered",""
"13.198.26.212","80","tcp","http","filtered",""
"14.111.172.228","80","tcp","http","filtered",""
"14.182.241.125","80","tcp","http","filtered",""
"15.11.174.116","80","tcp","http","filtered",""
"15.54.64.148","80","tcp","http","filtered",""
"15.81.204.200","80","tcp","http","filtered",""
"16.70.37.178","80","tcp","http","filtered",""
"16.100.10.228","80","tcp","http","filtered",""
"16.216.65.103","80","tcp","http","filtered",""
"17.9.208.45","80","tcp","http","filtered",""
"17.229.56.6","80","tcp","http","filtered",""
"18.42.51.195","80","tcp","http","filtered",""
"18.111.129.185","80","tcp","http","filtered",""
"18.122.191.177","80","tcp","http","filtered",""
"18.138.153.36","80","tcp","http","filtered",""
"19.34.210.209","80","tcp","http","filtered",""
"19.181.36.112","80","tcp","http","filtered",""
"20.11.75.224","80","tcp","http","filtered",""
"20.25.215.181","80","tcp","http","filtered",""
"20.35.114.55","80","tcp","http","filtered",""
"20.150.155.248","80","tcp","http","filtered",""
"20.207.238.63","80","tcp","http","filtered",""
"21.68.62.74","80","tcp","http","filtered",""
"22.54.202.121","80","tcp","http","filtered",""
"22.116.204.12","80","tcp","http","filtered",""
"23.61.31.218","80","tcp","http","filtered",""
"24.63.118.105","80","tcp","http","filtered",""
"26.205.149.210","80","tcp","http","filtered",""
"27.22.104.222","80","tcp","http","filtered",""
"28.48.104.55","80","tcp","http","filtered",""
"28.159.4.136","80","tcp","http","filtered",""
"28.234.45.155","80","tcp","http","filtered",""
"29.54.108.47","80","tcp","http","filtered",""
"29.103.126.141","80","tcp","http","filtered",""
"29.128.219.174","80","tcp","http","filtered",""
"30.211.117.228","80","tcp","http","filtered",""
"31.189.52.113","80","tcp","http","filtered",""
"32.45.131.15","80","tcp","http","filtered",""
"32.87.123.160","80","tcp","http","filtered",""
"32.125.63.152","80","tcp","http","filtered",""
"34.16.234.39","80","tcp","http","filtered",""
"34.26.34.225","80","tcp","http","filtered",""
"34.201.95.121","80","tcp","http","filtered",""
"35.25.59.211","80","tcp","http","filtered",""
"35.206.121.54","80","tcp","http","filtered",""
"35.236.125.162","80","tcp","http","filtered",""
"37.165.139.238","80","tcp","http","filtered",""
"37.197.253.88","80","tcp","http","filtered",""
"39.111.31.82","80","tcp","http","filtered",""
"39.211.248.183","80","tcp","http","filtered",""
"39.212.185.235","80","tcp","http","filtered",""
"39.232.177.91","80","tcp","http","filtered",""
"41.53.143.253","80","tcp","http","filtered",""
"41.67.144.57","80","tcp","http","filtered",""
"41.160.253.129","80","tcp","http","filtered",""
"42.10.42.33","80","tcp","http","filtered",""
"42.56.231.227","80","tcp","http","filtered",""
"43.199.35.94","80","tcp","http","filtered",""
"44.26.11.46","80","tcp","http","filtered",""
"45.46.193.117","80","tcp","http","filtered",""
"46.20.231.250","80","tcp","http","filtered",""
"47.77.35.82","80","tcp","http","filtered",""
"47.130.142.221","80","tcp","http","filtered",""
