address,mac,name,os_name,os_flavor,os_sp,purpose,info,comments
"10.0.0.1","","","Unknown","","","device","",""
"10.0.0.52","","","Unknown","","","device","",""
"10.0.0.111","","saturn","Unknown","","","device","",""
"10.0.0.112","","crashplan.standrews-de.org","Unknown","","","device","",""
"10.0.0.141","","esx1-drac.standrews-de.org","Unknown","","","device","",""
"10.0.0.142","","esx1.standrews-de.org","VMware ESXi 5.5.0","","2068190","device","",""
"10.0.0.143","","esx1-vmk.standrews-de.org","VMware ESXi 5.5.0","","2068190","device","",""
"10.0.0.145","","esx2.standrews-de.org","VMware ESXi 5.5.0","","2068190","device","",""
"10.0.0.146","","esx2-drac.standrews-de.org","Unknown","","","device","",""
"10.0.0.147","","esx3-drac.standrews-de.org","Unknown","","","device","",""
"10.0.0.148","","esx3.standrews-de.org","VMware ESXi 5.5.0","","2068190","device","",""
"10.0.0.150","","esx-vca.standrews-de.org","VMware vCenter Server 5.5.0","","1750787","device","",""
"10.0.0.152","","esx-vdp.standrews-de.org","Unknown","","","device","",""
"10.0.0.161","","apc-arts.standrews-de.org","Unknown","","","device","",""
"10.0.0.162","","apc-1400.standrews-de.org","Unknown","","","device","",""
"10.0.0.163","","artsmedia1","Unknown","","","device","",""
"10.0.0.166","00:50:56:a3:f2:9b","retro12","Unknown","","","device","",""
"10.0.0.169","","oldpro.standrews-de.org","Unknown","","","device","",""
"10.0.0.170","00:50:56:ba:1a:eb","bodc","Unknown","","","device","",""
"10.0.0.171","00:50:56:ba:0e:50","blackbaud","Unknown","","","device","",""
"10.0.0.173","00:50:56:ba:73:56","voicepc","Unknown","","","device","",""
"10.0.0.177","","copernicus.standrews-de.org","Unknown","","","device","",""
"10.0.0.179","","apc.standrews-de.org","Unknown","","","device","",""
"10.0.0.181","00:50:56:ba:66:53","blue","Unknown","","","device","",""
"10.0.0.183","00:14:78:7c:21:9c","mars","Unknown","","","device","",""
"10.0.0.185","","venus.standrews-de.org","Unknown","","","device","",""
"10.0.0.188","","freenas","Unknown","","","device","",""
"10.0.0.191","00:50:56:ba:00:85","violet","Unknown","","","device","",""
"10.0.0.199","","hemera.standrews-de.org","Unknown","","","device","",""
"10.0.0.203","","mango","Unknown","","","device","",""
"10.0.0.205","","denim.standrews-de.org","Unknown","","","device","",""
"10.0.0.206","","thalia.standrews-de.org","Unknown","","","device","",""
"10.0.0.212","","media1.standrews-de.org","Unknown","","","device","",""
"10.0.0.214","","verde.standrews-de.org","Unknown","","","device","",""
"10.0.0.215","","aruba.standrews-de.org","Unknown","","","device","",""
"10.0.0.216","","edison.standrews-de.org","Unknown","","","device","",""
"10.0.0.217","","lemon.standrews-de.org","Unknown","","","device","",""
"10.0.0.218","00:50:56:b7:15:c9","alertus","Unknown","","","device","",""
"10.0.0.229","","barracuda.standrews-de.org","Unknown","","","device","",""
"10.0.0.230","00:50:56:ba:1c:2e","fcs","Unknown","","","device","",""
"10.0.0.231","","fcws.standrews-de.org","Unknown","","","device","",""
"10.0.0.232","","odmaster.standrews-de.org","Unknown","","","device","",""
"10.0.0.233","","atlas.standrews-de.org","Unknown","","","device","",""
"10.0.0.237","00:50:56:a3:dd:a2","sas-websvr","Unknown","","","device","",""
"10.0.0.239","","lumiere.standrews-de.org","Unknown","","","device","",""
"10.0.0.242","","sauron.standrews-de.org","Unknown","","","device","",""
"10.0.0.246","","cyan.standrews-de.org","Unknown","","","device","",""
"10.0.0.247","00:50:56:ba:77:84","termserv","Unknown","","","device","",""
"10.0.0.248","","manager.standrews-de.org","Unknown","","","device","",""
"10.0.0.249","","nikon.standrews-de.org","Unknown","","","device","",""
"10.0.0.250","00:50:56:a3:dd:a0","sas-lssvr","Unknown","","","device","",""
