host,port,proto,name,state,info
"10.0.0.215","17","tcp","tcpwrapped","open",""
"10.0.0.161","21","tcp","ftp","open","APC AOS ftpd 5.1.3 on APC AP9631 network management card"
"10.0.0.163","21","tcp","ftp","open","ProFTPD"
"10.0.0.173","21","tcp","ftp","open",""
"10.0.0.179","21","tcp","ftp","open","APC AOS ftpd 2.6.4 on APC AP9619 network management card"
"10.0.0.183","21","tcp","ftp","open","Microsoft ftpd"
"10.0.0.185","21","tcp","ftp","open","Microsoft ftpd"
"10.0.0.214","21","tcp","ftp","open","Pure-FTPd"
"10.0.0.215","21","tcp","ftp","open","Aruba router ftpd"
"10.0.0.1","22","tcp","ssh","open","OpenSSH 3.7.1p2 protocol 2.0"
"10.0.0.52","22","tcp","ssh","filtered",""
"10.0.0.111","22","tcp","ssh","open","OpenSSH 6.6.1_hpn13v11 FreeBSD 20140420; protocol 2.0"
"10.0.0.141","22","tcp","ssh","open","OpenSSH 5.2 protocol 2.0"
"10.0.0.142","22","tcp","ssh","open","OpenSSH 5.6 protocol 2.0"
"10.0.0.143","22","tcp","ssh","open","OpenSSH 5.6 protocol 2.0"
"10.0.0.145","22","tcp","ssh","closed",""
"10.0.0.146","22","tcp","ssh","open","OpenSSH 5.2 protocol 2.0"
"10.0.0.147","22","tcp","ssh","open","OpenSSH 5.8 protocol 2.0"
"10.0.0.148","22","tcp","ssh","open","OpenSSH 5.6 protocol 2.0"
"10.0.0.150","22","tcp","ssh","open","OpenSSH 5.1 protocol 2.0"
"10.0.0.152","22","tcp","ssh","open","OpenSSH 5.1 protocol 2.0"
"10.0.0.163","22","tcp","ssh","open","OpenSSH 6.7 protocol 2.0"
"10.0.0.169","22","tcp","ssh","open","OpenSSH 5.6 protocol 2.0"
"10.0.0.177","22","tcp","ssh","open","OpenSSH 6.2 protocol 2.0"
"10.0.0.188","22","tcp","ssh","open","OpenSSH 5.4p1_hpn13v11 FreeBSD 20100308; protocol 2.0"
"10.0.0.199","22","tcp","ssh","open","OpenSSH 5.9 protocol 2.0"
"10.0.0.203","22","tcp","ssh","open","OpenSSH 5.3p1 Debian 3ubuntu7.1 protocol 2.0"
"10.0.0.205","22","tcp","ssh","open","OpenSSH 5.3p1 Debian 3ubuntu7.1 protocol 2.0"
"10.0.0.206","22","tcp","ssh","open","OpenSSH 5.9 protocol 2.0"
"10.0.0.212","22","tcp","ssh","open","OpenSSH 5.6 protocol 2.0"
"10.0.0.214","22","tcp","ssh","open","protocol 2.0"
"10.0.0.215","22","tcp","ssh","open","OpenSSH 5.8 protocol 2.0"
"10.0.0.217","22","tcp","ssh","open","OpenSSH 5.9p1 Debian 5ubuntu1.3 protocol 2.0"
"10.0.0.232","22","tcp","ssh","open","OpenSSH 6.2 protocol 2.0"
"10.0.0.233","22","tcp","ssh","open","OpenSSH 5.2 protocol 2.0"
"10.0.0.239","22","tcp","ssh","open","OpenSSH 6.2 protocol 2.0"
"10.0.0.242","22","tcp","ssh","open","OpenSSH 6.2 protocol 2.0"
"10.0.0.246","22","tcp","ssh","open","OpenSSH 5.3p1 Debian 3ubuntu7.1 protocol 2.0"
"10.0.0.248","22","tcp","ssh","open","OpenSSH 4.3 protocol 2.0"
"10.0.0.249","22","tcp","ssh","open","OpenSSH 6.2 protocol 2.0"
"10.0.0.1","23","tcp","telnet","open","Cisco or Edge-core switch telnetd"
"10.0.0.52","23","tcp","telnet","filtered",""
"10.0.0.161","23","tcp","telnet","open","APC AP9630 network management telnetd"
"10.0.0.162","23","tcp","telnet","open","APC network management card telnetd"
"10.0.0.179","23","tcp","telnet","open","APC network management card telnetd"
"10.0.0.230","23","tcp","telnet","open","FirstClass telnetd"
"10.0.0.229","25","tcp","smtp","open","Barracuda Networks Spam Firewall smtpd"
"10.0.0.230","25","tcp","smtp","open","FirstClass SMTP server 11.1"
"10.0.0.170","42","tcp","wins","open","Microsoft Windows Wins"
"10.0.0.166","53","tcp","domain","open","Microsoft DNS"
"10.0.0.170","53","tcp","domain","open","Microsoft DNS"
"10.0.0.191","53","tcp","domain","open","Microsoft DNS"
"10.0.0.205","53","tcp","domain","open","ISC BIND 9.7.0-P1"
"10.0.0.246","53","tcp","domain","open","ISC BIND 9.7.0-P1"
"10.0.0.248","53","tcp","domain","open",""
"10.0.0.1","80","tcp","tcpwrapped","open",""
"10.0.0.111","80","tcp","http","open","nginx/1.6.2 ( 302-http://10.0.0.111/ )"
"10.0.0.141","80","tcp","http","open","Mbedthis-Appweb 2.4.2 Dell iDRAC6 http config"
"10.0.0.142","80","tcp","http","open","VMware ESXi 4.0 Server httpd"
"10.0.0.143","80","tcp","http","open","VMware ESXi 4.0 Server httpd"
"10.0.0.145","80","tcp","http","open","VMware ESXi 4.0 Server httpd"
"10.0.0.146","80","tcp","http","open","Mbedthis-Appweb 2.4.2 Dell iDRAC6 http config"
"10.0.0.147","80","tcp","http","open",""
"10.0.0.148","80","tcp","http","open","VMware ESXi 4.0 Server httpd"
"10.0.0.150","80","tcp","http","open","VMware ESXi 4.0 Server httpd"
"10.0.0.152","80","tcp","http","open","Apache httpd"
"10.0.0.161","80","tcp","http","open","APC SmartUPS http config"
"10.0.0.162","80","tcp","http","open","APC Management Web Server Allegro RomPager 3.10"
"10.0.0.163","80","tcp","http","open","Apache httpd"
"10.0.0.166","80","tcp","http","open","Microsoft IIS httpd 8.0"
"10.0.0.173","80","tcp","http","open","Indy httpd 9.00.10 Avaya VoIP phone upgrade service"
"10.0.0.177","80","tcp","http","open","Apache httpd 2.4.10 (Unix) OpenSSL/1.0.1i PHP/5.5.15 mod_perl/2.0.8-dev Perl/v5.16.3"
"10.0.0.179","80","tcp","http","open","APC Management Web Server Allegro RomPager 4.04"
"10.0.0.181","80","tcp","http","open","Microsoft IIS httpd 6.0"
"10.0.0.183","80","tcp","http","open","Microsoft IIS httpd 5.1"
"10.0.0.185","80","tcp","http","open","Microsoft IIS httpd 5.1"
"10.0.0.188","80","tcp","http","open","nginx 1.2.2"
"10.0.0.199","80","tcp","http","open","Apache httpd 2.2.26 (Unix) DAV/2 mod_ssl/2.2.26 OpenSSL/0.9.8y mod_perl/2.0.5 Perl/v5.12.4"
"10.0.0.203","80","tcp","http","open","Apache httpd 2.2.14 (Ubuntu)"
"10.0.0.206","80","tcp","http","open","Thin 1.3.1 codename Triple Espresso"
"10.0.0.212","80","tcp","http","open","Apache httpd 2.2.22 (Unix) mod_jk/1.2.32 DAV/2"
"10.0.0.214","80","tcp","http","open","Apache httpd 2.4.7 (Ubuntu)"
"10.0.0.215","80","tcp","http","open","Apache httpd"
"10.0.0.217","80","tcp","http","open","Apache httpd 2.2.22 (Ubuntu)"
"10.0.0.218","80","tcp","http","open","Apache httpd"
"10.0.0.229","80","tcp","http","open","nginx"
"10.0.0.230","80","tcp","http","open",""
"10.0.0.231","80","tcp","http","open",""
"10.0.0.233","80","tcp","http","open","Apache httpd 2.2.24 (Unix)"
"10.0.0.237","80","tcp","http","open","Microsoft IIS httpd 6.0"
"10.0.0.242","80","tcp","http","open","Apache httpd 2.2.26 (Unix) DAV/2 mod_ssl/2.2.26 OpenSSL/0.9.8za"
"10.0.0.246","80","tcp","http","open","nginx 0.7.65"
"10.0.0.248","80","tcp","http","open","Apache httpd"
"10.0.0.249","80","tcp","http","open","Apache httpd 2.2.26 (Unix) PHP/5.4.30 mod_wsgi/3.3 Python/2.7.5 mod_ssl/2.2.26 OpenSSL/0.9.8za DAV/2"
"10.0.0.150","88","tcp","kerberos-sec","open",""
"10.0.0.166","88","tcp","kerberos-sec","open","Windows 2003 Kerberos server time: 2015-05-26 00:46:17Z"
"10.0.0.169","88","tcp","kerberos-sec","open","Heimdal Kerberos server time: 2015-05-26 00:46:57Z"
"10.0.0.177","88","tcp","kerberos-sec","open",""
"10.0.0.191","88","tcp","kerberos-sec","open","Windows 2003 Kerberos server time: 2015-05-26 00:49:06Z"
"10.0.0.199","88","tcp","kerberos-sec","open","Heimdal Kerberos server time: 2015-05-26 00:49:30Z"
"10.0.0.212","88","tcp","kerberos-sec","open",""
"10.0.0.216","88","tcp","kerberos-sec","open",""
"10.0.0.232","88","tcp","kerberos-sec","open",""
"10.0.0.233","88","tcp","kerberos-sec","open","Mac OS X kerberos-sec"
"10.0.0.239","88","tcp","kerberos-sec","open",""
"10.0.0.249","88","tcp","kerberos-sec","open",""
"10.0.0.216","106","tcp","pop3pw","open","ApplePasswordServer pop3 password change daemon 10.9.0.0"
"10.0.0.232","106","tcp","pop3pw","open","ApplePasswordServer pop3 password change daemon 10.9.0.0"
"10.0.0.1","110","tcp","tcpwrapped","open",""
"10.0.0.52","110","tcp","tcpwrapped","open",""
"10.0.0.111","110","tcp","tcpwrapped","open",""
"10.0.0.112","110","tcp","tcpwrapped","open",""
"10.0.0.141","110","tcp","tcpwrapped","open",""
"10.0.0.142","110","tcp","pop3","open",""
"10.0.0.143","110","tcp","pop3","open",""
"10.0.0.145","110","tcp","pop3","open",""
"10.0.0.146","110","tcp","tcpwrapped","open",""
"10.0.0.147","110","tcp","tcpwrapped","open",""
"10.0.0.148","110","tcp","pop3","open",""
"10.0.0.150","110","tcp","tcpwrapped","open",""
"10.0.0.152","110","tcp","pop3","open",""
"10.0.0.161","110","tcp","tcpwrapped","open",""
"10.0.0.162","110","tcp","tcpwrapped","open",""
"10.0.0.163","110","tcp","tcpwrapped","open",""
"10.0.0.166","110","tcp","pop3","open",""
"10.0.0.169","110","tcp","tcpwrapped","open",""
"10.0.0.170","110","tcp","tcpwrapped","open",""
"10.0.0.171","110","tcp","tcpwrapped","open",""
"10.0.0.173","110","tcp","tcpwrapped","open",""
"10.0.0.177","110","tcp","tcpwrapped","open",""
"10.0.0.179","110","tcp","tcpwrapped","open",""
"10.0.0.181","110","tcp","tcpwrapped","open",""
"10.0.0.183","110","tcp","tcpwrapped","open",""
"10.0.0.185","110","tcp","pop3","open",""
"10.0.0.188","110","tcp","tcpwrapped","open",""
"10.0.0.191","110","tcp","tcpwrapped","open",""
"10.0.0.199","110","tcp","tcpwrapped","open",""
"10.0.0.203","110","tcp","tcpwrapped","open",""
"10.0.0.205","110","tcp","tcpwrapped","open",""
"10.0.0.206","110","tcp","tcpwrapped","open",""
"10.0.0.212","110","tcp","tcpwrapped","open",""
"10.0.0.214","110","tcp","tcpwrapped","open",""
"10.0.0.215","110","tcp","pop3","open",""
"10.0.0.216","110","tcp","tcpwrapped","open",""
"10.0.0.217","110","tcp","tcpwrapped","open",""
"10.0.0.218","110","tcp","pop3","open",""
"10.0.0.229","110","tcp","tcpwrapped","open",""
"10.0.0.230","110","tcp","pop3","open","FirstClass pop3d"
"10.0.0.231","110","tcp","pop3","open",""
"10.0.0.232","110","tcp","tcpwrapped","open",""
"10.0.0.233","110","tcp","tcpwrapped","open",""
"10.0.0.237","110","tcp","tcpwrapped","open",""
"10.0.0.239","110","tcp","tcpwrapped","open",""
"10.0.0.242","110","tcp","tcpwrapped","open",""
"10.0.0.246","110","tcp","tcpwrapped","open",""
"10.0.0.247","110","tcp","tcpwrapped","open",""
"10.0.0.248","110","tcp","tcpwrapped","open",""
"10.0.0.249","110","tcp","tcpwrapped","open",""
"10.0.0.250","110","tcp","tcpwrapped","open",""
"10.0.0.150","111","tcp","rpcbind","open","2-4 rpc #100000"
"10.0.0.188","111","tcp","rpcbind","open","2-4 rpc #100000"
"10.0.0.205","111","tcp","rpcbind","open",""
"10.0.0.206","111","tcp","rpcbind","open",""
"10.0.0.233","111","tcp","rpcbind","open",""
"10.0.0.249","111","tcp","rpcbind","open",""
"10.0.0.166","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.170","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.171","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.173","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.181","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.183","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.185","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.191","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.218","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.230","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.237","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.247","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.250","135","tcp","msrpc","open","Microsoft Windows RPC"
"10.0.0.111","137","udp","netbios","open","SATURN:<00>:U :SATURN:<03>:U :SATURN:<20>:U :WORKGROUP:<00>:G :WORKGROUP:<1e>:G :00:00:00:00:00:00"
"10.0.0.163","137","udp","netbios","open","ARTSMEDIA1:<00>:U :ARTSMEDIA1:<03>:U :ARTSMEDIA1:<20>:U :NAS:<1e>:G :NAS:<00>:G :00:00:00:00:00:00"
"10.0.0.166","137","udp","netbios","open","RETRO12:<00>:U :SAS:<00>:G :SAS:<1c>:G :RETRO12:<20>:U :SAS:<1b>:U :00:50:56:a3:f2:9b"
"10.0.0.170","137","udp","netbios","open","BODC:<00>:U :BUSOFF:<00>:G :BODC:<20>:U :BUSOFF:<1e>:G :00:50:56:ba:1a:eb"
"10.0.0.171","137","udp","netbios","open","BLACKBAUD:<00>:U :BUSOFF:<00>:G :BLACKBAUD:<20>:U :BUSOFF:<1e>:G :00:50:56:ba:0e:50"
"10.0.0.173","137","udp","netbios","open","VOICEPC:<00>:U :SASNET:<00>:G :VOICEPC:<20>:U :SASNET:<1e>:G :SASNET:<1d>:U :__MSBROWSE__:<01>:G :00:50:56:ba:73:56"
"10.0.0.181","137","udp","netbios","open","BLUE:<00>:U :BUSOFF:<00>:G :BLUE:<20>:U :BUSOFF:<1e>:G :BLUE:<01>:U :BLUE:<03>:U :00:50:56:ba:66:53"
"10.0.0.183","137","udp","netbios","open","MARS:<00>:U :MARS:<20>:U :SASNET:<00>:G :00:14:78:7c:21:9c"
"10.0.0.188","137","udp","netbios","open","FREENAS:<20>:U :FREENAS:<00>:U :FREENAS:<03>:U :__MSBROWSE__:<01>:G :WORKGROUP:<1d>:U :WORKGROUP:<1e>:G :WORKGROUP:<00>:G :00:00:00:00:00:00"
"10.0.0.191","137","udp","netbios","open","VIOLET:<00>:U :BUSOFF:<00>:G :BUSOFF:<1c>:G :VIOLET:<20>:U :BUSOFF:<1b>:U :BUSOFF:<1e>:G :BUSOFF:<1d>:U :__MSBROWSE__:<01>:G :00:50:56:ba:00:85"
"10.0.0.203","137","udp","netbios","open","MANGO:<00>:U :MANGO:<03>:U :MANGO:<20>:U :WORKGROUP:<1e>:G :WORKGROUP:<00>:G :00:00:00:00:00:00"
"10.0.0.218","137","udp","netbios","open","ALERTUS:<00>:U :WORKGROUP:<00>:G :ALERTUS:<20>:U :00:50:56:b7:15:c9"
"10.0.0.230","137","udp","netbios","open","FCS:<00>:U :SASNET:<00>:G :FCS:<20>:U :00:50:56:ba:1c:2e"
"10.0.0.237","137","udp","netbios","open","SAS-WEBSVR:<00>:U :WORKGROUP:<00>:G :SAS-WEBSVR:<20>:U :WORKGROUP:<1e>:G :WORKGROUP:<1d>:U :__MSBROWSE__:<01>:G :00:50:56:a3:dd:a2"
"10.0.0.247","137","udp","netbios","open","TERMSERV:<00>:U :BUSOFF:<00>:G :TERMSERV:<20>:U :BUSOFF:<1e>:G :00:50:56:ba:77:84"
"10.0.0.250","137","udp","netbios","open","SAS-LSSVR:<00>:U :WORKGROUP:<00>:G :SAS-LSSVR:<20>:U :00:50:56:a3:dd:a0"
"10.0.0.111","139","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: SATURN"
"10.0.0.163","139","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: NAS"
"10.0.0.166","139","tcp","netbios-ssn","open",""
"10.0.0.170","139","tcp","netbios-ssn","open",""
"10.0.0.171","139","tcp","netbios-ssn","open",""
"10.0.0.173","139","tcp","netbios-ssn","open",""
"10.0.0.181","139","tcp","netbios-ssn","open",""
"10.0.0.183","139","tcp","netbios-ssn","open",""
"10.0.0.188","139","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: WORKGROUP"
"10.0.0.191","139","tcp","netbios-ssn","open",""
"10.0.0.203","139","tcp","netbios-ssn","open","Samba smbd 3.X workgroup: WORKGROUP"
"10.0.0.218","139","tcp","netbios-ssn","open",""
"10.0.0.230","139","tcp","netbios-ssn","open",""
"10.0.0.237","139","tcp","netbios-ssn","open",""
"10.0.0.247","139","tcp","netbios-ssn","open",""
"10.0.0.250","139","tcp","netbios-ssn","open",""
"10.0.0.1","143","tcp","tcpwrapped","open",""
"10.0.0.52","143","tcp","tcpwrapped","open",""
