Time,Host,Service,Port,Protocol,Type,Data
"2015-05-25 01:54:06 UTC","209.118.39.203","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""301 Moved Permanently\nDid not follow redirect to https://plato.standrews-de.org/""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Plato Student Information System""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","443","tcp","nmap.nse.http-robots.txt.tcp.443","{""output""=>""1 disallowed entry \n/""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","443","tcp","nmap.nse.http-favicon.tcp.443","{""output""=>""Unknown favicon MD5: 35A78934869737502B0FC9569C91C667""}"
"2015-05-25 01:54:05 UTC","209.118.39.203","ssh","22","tcp","nmap.nse.ssh-hostkey.tcp.22","{""output""=>""1024 1a:34:c2:49:c3:dc:e2:ce:e9:9a:d9:89:bc:74:aa:3f (DSA)\n2048 db:c5:23:e0:46:8c:a6:c5:ad:99:d1:bc:05:11:a0:0b (RSA)""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""No Allow or Public header in OPTIONS response (status code 301)""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""301 Moved Permanently\nDid not follow redirect to https://socrates.standrews-de.org/""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","imap","143","tcp","nmap.nse.imap-capabilities.tcp.143","{""output""=>""\n ERROR: Failed to connect to server""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Socrates: St. Andrew's Student Information System""}"
"2015-05-25 01:54:06 UTC","209.118.39.203","http","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.standrews-de.org\nIssuer: commonName=Go Daddy Secure Certificate Authority - G2/organizationName=GoDaddy.com, Inc./stateOrProvinceName=Arizona/countryName=US\nPublic Key type: rsa\nPublic Key bits: 2048\nNot valid before: 2014-12-08 14:34:00\nNot valid after: 2017-05-29 14:49:44\nMD5: 592a 43b1 8216 953e 97cd 7dfb bd32 9d1b\nSHA-1: 62e0 a058 318f e9a8 f448 a3a6 97f7 2f65 050e 315a""}"
