Time,Host,Service,Port,Protocol,Type,Data
"2015-05-26 01:09:15 UTC","10.0.0.141","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Did not follow redirect to https://esx1-drac.standrews-de.org/start.html and no page was returned.""}"
"2015-05-26 01:09:15 UTC","10.0.0.141","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""No Allow or Public header in OPTIONS response (status code 301)""}"
"2015-05-26 01:09:15 UTC","10.0.0.141","tcpwrapped","143","tcp","nmap.nse.imap-capabilities.tcp.143","{""output""=>""\n ERROR: Failed to connect to server""}"
"2015-05-26 01:09:28 UTC","10.0.0.237","","","","nmap.nse.smbv2-enabled.host","{""output""=>""Server doesn't support SMBv2 protocol""}"
"2015-05-26 01:09:15 UTC","10.0.0.141","http","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""OPTIONS TRACE GET HEAD POST\nPotentially risky methods: TRACE\nSee http://nmap.org/nsedoc/scripts/http-methods.html""}"
"2015-05-26 01:09:15 UTC","10.0.0.141","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html).\nRequested resource was https://esx1-drac.standrews-de.org:443/start.html""}"
"2015-05-26 01:09:30 UTC","10.0.0.242","http","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""No Allow or Public header in OPTIONS response (status code 403)""}"
"2015-05-26 01:09:30 UTC","10.0.0.242","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Server""}"
"2015-05-26 01:09:31 UTC","10.0.0.248","http","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""No Allow or Public header in OPTIONS response (status code 200)""}"
"2015-05-26 01:09:31 UTC","10.0.0.248","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html;charset=ISO-8859-1).""}"
"2015-05-26 01:09:31 UTC","10.0.0.248","http","443","tcp","nmap.nse.http-favicon.tcp.443","{""output""=>""Unknown favicon MD5: F356C54187EB4A64DE47124F9C38649F""}"
"2015-05-26 01:09:31 UTC","10.0.0.248","http","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.standrews-de.org\nIssuer: commonName=Go Daddy Secure Certificate Authority - G2/organizationName=GoDaddy.com, Inc./stateOrProvinceName=Arizona/countryName=US\nPublic Key type: rsa\nPublic Key bits: 2048\nNot valid before: 2014-12-08 14:34:00\nNot valid after: 2017-05-29 14:49:44\nMD5: 592a 43b1 8216 953e 97cd 7dfb bd32 9d1b\nSHA-1: 62e0 a058 318f e9a8 f448 a3a6 97f7 2f65 050e 315a""}"
"2015-05-26 01:09:31 UTC","10.0.0.248","ovm-manager","1050","tcp","nmap.nse.giop-info.tcp.1050","{""output""=>"" \n ERROR: Failed to read Packet.GIOP""}"
"2015-05-26 01:41:02 UTC","10.0.0.111","netbios-ssn","139","tcp","smb.shares","{:shares=>[[""Backup"", ""DISK"", """"], [""IPC$"", ""IPC"", ""IPC Service (FreeNAS Server)""]]}"
"2015-05-27 01:05:29 UTC","10.0.0.170","snmp","161","udp","snmp.Host IP","""10.0.0.170"""
"2015-05-27 01:05:29 UTC","10.0.0.170","snmp","161","udp","snmp.Hostname","""BODC"""
"2015-05-26 01:09:25 UTC","10.0.0.214","ssh","22","tcp","nmap.nse.ssh-hostkey.tcp.22","{""output""=>""1024 c8:8c:c6:41:47:23:44:b1:98:ee:3f:68:92:ab:74:d3 (DSA)\n2048 96:15:80:58:15:e7:d8:50:5b:dd:0a:17:a4:bd:5a:bf (RSA)""}"
"2015-05-26 01:09:25 UTC","10.0.0.214","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Apache2 Ubuntu Default Page: It works""}"
"2015-05-26 01:09:25 UTC","10.0.0.214","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""POST OPTIONS GET HEAD""}"
"2015-05-26 01:09:25 UTC","10.0.0.214","tcpwrapped","143","tcp","nmap.nse.imap-capabilities.tcp.143","{""output""=>""\n ERROR: Failed to connect to server""}"
"2015-05-26 01:09:25 UTC","10.0.0.214","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Index of /""}"
"2015-05-26 01:09:25 UTC","10.0.0.214","http","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""POST OPTIONS GET HEAD""}"
"2015-05-26 01:09:15 UTC","10.0.0.141","http","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=iDRAC6 default certificate/organizationName=Dell Inc./stateOrProvinceName=Texas/countryName=US\nIssuer: commonName=iDRAC6 default certificate/organizationName=Dell Inc./stateOrProvinceName=Texas/countryName=US\nPublic Key type: rsa\nPublic Key bits: 1024\nNot valid before: 2009-01-05 14:43:48\nNot valid after: 2019-01-03 14:43:48\nMD5: b1a6 89a0 835b 7514 9809 7a79 3f4d d6d8\nSHA-1: 5068 77e5 570c aeb0 db4d 201c 8b5d 86c3 e46d 8dec""}"
"2015-05-26 01:09:15 UTC","10.0.0.141","vnc","5900","tcp","nmap.nse.vnc-info.tcp.5900","{""output""=>"" \n ERROR: ERROR: VNC:handshake failed to receive protocol version""}"
"2015-05-26 01:09:15 UTC","10.0.0.142","ssh","22","tcp","nmap.nse.ssh-hostkey.tcp.22","{""output""=>""1024 e6:5e:d0:1e:64:b3:da:cd:47:fd:c8:d3:74:c9:f8:91 (DSA)\n2048 8a:27:29:bd:2c:f3:82:de:b1:e1:2f:1f:aa:09:f3:3a (RSA)""}"
"2015-05-26 01:09:16 UTC","10.0.0.142","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Site doesn't have a title (text/html).\nDid not follow redirect to https://esx1.standrews-de.org/""}"
"2015-05-26 01:09:16 UTC","10.0.0.142","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""No Allow or Public header in OPTIONS response (status code 501)""}"
"2015-05-26 01:09:16 UTC","10.0.0.142","imap","143","tcp","nmap.nse.imap-capabilities.tcp.143","{""output""=>""\n ERROR: Failed to connect to server""}"
"2015-05-26 01:09:16 UTC","10.0.0.142","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""\"" + ID_EESX_Welcome + \""""}"
"2015-05-26 01:09:16 UTC","10.0.0.142","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""No Allow or Public header in OPTIONS response (status code 501)""}"
"2015-05-26 01:09:16 UTC","10.0.0.142","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=esx1.man.standrews-de.org/organizationName=VMware, Inc/stateOrProvinceName=California/countryName=US\nIssuer: organizationName=VMware Installer\nPublic Key type: rsa\nPublic Key bits: 1024\nNot valid before: 2009-06-01 17:00:00\nNot valid after: 2020-11-30 17:00:00\nMD5: 8c55 cd34 f9ed 24e8 e1f4 7a9c 7823 7a1c\nSHA-1: c45b 1bf0 6350 ef63 a050 e39f db47 5836 59e1 19d9""}"
