Time,Host,Service,Port,Protocol,Type,Data
"2015-03-30 14:50:27 UTC","10.0.0.206","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""No Allow or Public header in OPTIONS response (status code 401)""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""OS X Server""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","http","80","tcp","nmap.nse.http-favicon.tcp.80","{""output""=>""Unknown favicon MD5: D1D6B9A93EAE560C80AE1BF2FEBB9B83""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","rpcbind","111","tcp","nmap.nse.rpcinfo.tcp.111","{""output""=>""\n program version port/proto service\n 100000 2,3,4 111/tcp rpcbind\n 100000 2,3,4 111/udp rpcbind\n 100003 2,3 2049/tcp nfs\n 100003 2,3 2049/udp nfs\n 100005 1,3 647/udp mountd\n 100005 1,3 1023/tcp mountd\n 100011 1,2 1000/tcp rquotad\n 100011 1,2 1003/udp rquotad\n 100021 0,1,3,4 715/udp nlockmgr\n 100021 0,1,3,4 1017/tcp nlockmgr\n 100024 1 743/udp status\n 100024 1 1021/tcp status\n""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","tcpwrapped","143","tcp","nmap.nse.imap-capabilities.tcp.143","{""output""=>""\n ERROR: Failed to connect to server""}"
"2015-03-30 14:50:26 UTC","10.0.0.206","","","","nmap.nse.nbstat.host","{""output""=>""\n NetBIOS name: THALIA, NetBIOS user: <unknown>, NetBIOS MAC: <unknown>\n Names\n THALIA<00> Flags: <unique><active>\n THALIA<20> Flags: <unique><active>\n WORKGROUP<00> Flags: <group><active>\n""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","ssh","22","tcp","nmap.nse.ssh-hostkey.tcp.22","{""output""=>""1024 bd:a2:01:df:69:cf:f4:25:de:d1:dd:12:f3:5a:41:58 (DSA)\n2048 6c:d5:18:b7:1c:bc:b5:76:d7:38:84:71:bf:7e:54:a8 (RSA)""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","asip-webadmin","311","tcp","nmap.nse.ssl-cert.tcp.311","{""output""=>""Subject: commonName=com.apple.servermgrd/countryName=US\nIssuer: commonName=com.apple.servermgrd/countryName=US\nPublic Key type: rsa\nPublic Key bits: 2048\nNot valid before: 2013-08-01 17:49:53\nNot valid after: 2014-08-01 17:49:53\nMD5: be24 e35d a7d5 d348 4861 b2b5 8972 3e0d\nSHA-1: 4412 f260 f645 202f e3c0 0c03 5cf7 7743 5baa 5f32""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","http","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.standrews-de.org\nIssuer: commonName=Go Daddy Secure Certificate Authority - G2/organizationName=GoDaddy.com, Inc./stateOrProvinceName=Arizona/countryName=US\nPublic Key type: rsa\nPublic Key bits: 2048\nNot valid before: 2014-12-08 14:34:00\nNot valid after: 2017-05-29 14:49:44\nMD5: 592a 43b1 8216 953e 97cd 7dfb bd32 9d1b\nSHA-1: 62e0 a058 318f e9a8 f448 a3a6 97f7 2f65 050e 315a""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","http","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""No Allow or Public header in OPTIONS response (status code 401)""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","http","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""OS X Server""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","afp","548","tcp","nmap.nse.afp-serverinfo.tcp.548","{""output""=>""\n | Server Flags: 0x9ffb\n | Super Client: Yes\n | UUIDs: Yes\n | UTF8 Server Name: Yes\n | Open Directory: Yes\n | Reconnect: Yes\n | Server Notifications: Yes\n | TCP/IP: Yes\n | Server Signature: Yes\n | ServerMessages: Yes\n | Password Saving Prohibited: No\n | Password Changing: Yes\n |_ Copy File: Yes\n Server Name: Thalia\n Machine Type: Macmini6,1\n AFP Versions: AFP3.4, AFP3.3, AFP3.2, AFP3.1, AFPX03\n UAMs: DHCAST128, DHX2, Recon1, GSS\n Server Signature: 1ab586e1e8865b309d4d78badae868f4\n Network Address 1: 10.0.0.206:548\n Network Address 2: [fe80:0000:0000:0000:12dd:b1ff:fecb:c1a3]:548\n Network Address 3: thalia.standrews-de.org\n UTF8 Server Name: Thalia\n""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","ipp","631","tcp","nmap.nse.http-methods.tcp.631","{""output""=>""GET HEAD OPTIONS POST PUT\nPotentially risky methods: PUT\nSee http://nmap.org/nsedoc/scripts/http-methods.html""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","ipp","631","tcp","nmap.nse.http-robots.txt.tcp.631","{""output""=>""1 disallowed entry \n/""}"
"2015-03-30 14:50:27 UTC","10.0.0.206","vnc","5900","tcp","nmap.nse.vnc-info.tcp.5900","{""output""=>""\n Protocol version: 3.889\n Security types:\n Mac OS X security type (30)\n Mac OS X security type (35)\n""}"
"2015-03-30 14:55:05 UTC","10.0.0.206","nfsd","2049","udp","nfs.exports","{:exports=>[[""/Volumes/Pegasus/Shares/Tech"", [""10.0.0.0""]]]}"
